model,seed,split,capture_tag,imgsz,class_id,class_name,metric,value
yolo11n,0,val,720p,1280,6,tricycle,map50,0.000833
yolo11n,0,val,720p,1280,7,awning-tricycle,map50,0.021705
yolo11n,0,val,720p,1280,9,motor,map50,0.0144
yolo11n,0,val,720p,1280,0,pedestrian,map50_95,0.168904
yolo11n,0,val,720p,1280,1,people,map50_95,0.004733
yolo11n,0,val,720p,1280,2,bicycle,map50_95,5.6e-05
yolo11n,0,val,720p,1280,3,car,map50_95,8.3e-05
yolo11n,0,val,720p,1280,4,van,map50_95,0.0
yolo11n,0,val,720p,1280,5,truck,map50_95,0.003345
yolo11n,0,val,720p,1280,6,tricycle,map50_95,0.00075
yolo11n,0,val,720p,1280,7,awning-tricycle,map50_95,0.011204
yolo11n,0,val,720p,1280,9,motor,map50_95,0.002936
yolo11n,0,val,720p,960,0,pedestrian,recall,0.222222
yolo11n,0,val,720p,960,1,people,recall,0.007092
yolo11n,0,val,720p,960,2,bicycle,recall,0.0
yolo11n,0,val,720p,960,3,car,recall,0.0
yolo11n,0,val,720p,960,4,van,recall,0.0
yolo11n,0,val,720p,960,5,truck,recall,0.0
yolo11n,0,val,720p,960,6,tricycle,recall,0.0
yolo11n,0,val,720p,960,7,awning-tricycle,recall,0.0
yolo11n,0,val,720p,960,9,motor,recall,0.002899
yolo11n,0,val,720p,960,0,pedestrian,precision,0.409639
yolo11n,0,val,720p,960,1,people,precision,0.2
yolo11n,0,val,720p,960,2,bicycle,precision,0.0
yolo11n,0,val,720p,960,3,car,precision,0.0
yolo11n,0,val,720p,960,4,van,precision,0.0
yolo11n,0,val,720p,960,5,truck,precision,0.0
yolo11n,0,val,720p,960,6,tricycle,precision,0.0
yolo11n,0,val,720p,960,7,awning-tricycle,precision,0.0
yolo11n,0,val,720p,960,9,motor,precision,1.0
yolo11n,0,val,720p,960,0,pedestrian,map50,0.246584
yolo11n,0,val,720p,960,1,people,map50,0.019926
yolo11n,0,val,720p,960,2,bicycle,map50,0.000708
yolo11n,0,val,720p,960,3,car,map50,0.000801
yolo11n,0,val,720p,960,4,van,map50,0.0
yolo11n,0,val,720p,960,5,truck,map50,0.011706
yolo11n,0,val,720p,960,6,tricycle,map50,0.0025
yolo11n,0,val,720p,960,7,awning-tricycle,map50,0.026394
yolo11n,0,val,720p,960,9,motor,map50,0.018611
yolo11n,0,val,720p,960,0,pedestrian,map50_95,0.126187
yolo11n,0,val,720p,960,1,people,map50_95,0.004279
yolo11n,0,val,720p,960,2,bicycle,map50_95,0.000269
yolo11n,0,val,720p,960,3,car,map50_95,0.000247
yolo11n,0,val,720p,960,4,van,map50_95,0.0
yolo11n,0,val,720p,960,5,truck,map50_95,0.008194
yolo11n,0,val,720p,960,6,tricycle,map50_95,0.002
yolo11n,0,val,720p,960,7,awning-tricycle,map50_95,0.01407
yolo11n,0,val,720p,960,9,motor,map50_95,0.006292
